incident_year,IncidentCategory,num_crimes,pct_of_year
2024,Larceny Theft,26318,24.07
2024,Assault,8225,7.52
2024,Other Miscellaneous,7789,7.12
2024,Malicious Mischief,7495,6.85
2024,Motor Vehicle Theft,7226,6.61
2024,Burglary,6212,5.68
2024,Recovered Vehicle,4924,4.5
2024,Warrant,4534,4.15
2024,Drug Offense,4122,3.77
2024,Non-Criminal,3926,3.59
2024,Lost Property,3398,3.11
2024,Fraud,3376,3.09
2024,Missing Person,2584,2.36
2024,Disorderly Conduct,2521,2.31
2024,Robbery,2408,2.2
2024,Suspicious Occ,2385,2.18
2024,Miscellaneous Investigation,1926,1.76
2024,Offences Against The Family And Children,1569,1.43
2024,Other,1020,0.93
2024,Other Offenses,958,0.88
2024,Traffic Violation Arrest,927,0.85
2024,Weapons Offense,919,0.84
2024,Weapons Carrying Etc,743,0.68
2024,Stolen Property,550,0.5
2024,Case Closure,482,0.44
2024,Forgery And Counterfeiting,460,0.42
2024,Traffic Collision,396,0.36
2024,Courtesy Report,365,0.33
2024,Vandalism,324,0.3
2024,Arson,311,0.28
2024,Fire Report,162,0.15
2024,Sex Offense,162,0.15
2024,Vehicle Impounded,133,0.12
2024,Embezzlement,112,0.1
2024,Prostitution,98,0.09
2024,Suicide,54,0.05
2024,Vehicle Misplaced,47,0.04
2024,Homicide,42,0.04
2024,Drug Violation,37,0.03
2024,Rape,35,0.03
2024,Liquor Laws,30,0.03
2024,Gambling,14,0.01
2024,Suspicious,11,0.01
2024,Motor Vehicle Theft?,6,0.01
2024,"Human Trafficking (A), Commercial Sex Acts",2,0.0
2024,Weapons Offence,2,0.0
2024,Civil Sidewalks,1,0.0
2024,"Human Trafficking (B), Involuntary Servitude",1,0.0
2025,Larceny Theft,20305,21.54
2025,Assault,7199,7.64
2025,Drug Offense,6684,7.09
2025,Other Miscellaneous,6505,6.9
2025,Malicious Mischief,6059,6.43
2025,Warrant,5617,5.96
2025,Burglary,4546,4.82
2025,Motor Vehicle Theft,4114,4.36
2025,Non-Criminal,3750,3.98
2025,Lost Property,3485,3.7
2025,Fraud,3468,3.68
2025,Recovered Vehicle,2836,3.01
2025,Disorderly Conduct,2458,2.61
2025,Missing Person,2384,2.53
2025,Suspicious Occ,2130,2.26
2025,Miscellaneous Investigation,1900,2.02
2025,Robbery,1851,1.96
2025,Offences Against The Family And Children,1620,1.72
2025,Other,898,0.95
2025,Traffic Violation Arrest,801,0.85
2025,Other Offenses,781,0.83
2025,Weapons Offense,754,0.8
2025,Weapons Carrying Etc,699,0.74
2025,Forgery And Counterfeiting,538,0.57
2025,Stolen Property,451,0.48
2025,Case Closure,408,0.43
2025,Courtesy Report,339,0.36
2025,Traffic Collision,328,0.35
2025,Arson,306,0.32
2025,Fire Report,169,0.18
2025,Vandalism,164,0.17
2025,Vehicle Impounded,147,0.16
2025,Prostitution,97,0.1
2025,Embezzlement,92,0.1
2025,Civil Sidewalks,73,0.08
2025,Suicide,57,0.06
2025,Sex Offense,56,0.06
2025,Vehicle Misplaced,51,0.05
2025,Homicide,47,0.05
2025,Drug Violation,37,0.04
2025,Rape,19,0.02
2025,Gambling,15,0.02
2025,Motor Vehicle Theft?,11,0.01
2025,Suspicious,10,0.01
2025,Liquor Laws,9,0.01
2025,"Human Trafficking (A), Commercial Sex Acts",7,0.01
2025,Weapons Offence,3,0.0
2025,"Human Trafficking, Commercial Sex Acts",2,0.0
