category,incidents_2024,incidents_2025,net_change,pct_change
Civil Sidewalks,1,73,72,7200.0
"Human Trafficking (A), Commercial Sex Acts",2,7,5,250.0
Motor Vehicle Theft?,6,11,5,83.33
Drug Offense,4122,6684,2562,62.15
Weapons Offence,2,3,1,50.0
Warrant,4534,5617,1083,23.89
Forgery And Counterfeiting,460,538,78,16.96
Homicide,42,47,5,11.9
Vehicle Impounded,133,147,14,10.53
Vehicle Misplaced,47,51,4,8.51
Gambling,14,15,1,7.14
Suicide,54,57,3,5.56
Fire Report,162,169,7,4.32
Offences Against The Family And Children,1569,1620,51,3.25
Fraud,3376,3468,92,2.73
Lost Property,3398,3485,87,2.56
Drug Violation,37,37,0,0.0
Prostitution,98,97,-1,-1.02
Miscellaneous Investigation,1926,1900,-26,-1.35
Arson,311,306,-5,-1.61
Disorderly Conduct,2521,2458,-63,-2.5
Non-Criminal,3926,3750,-176,-4.48
Weapons Carrying Etc,743,699,-44,-5.92
Courtesy Report,365,339,-26,-7.12
Missing Person,2584,2384,-200,-7.74
Suspicious,11,10,-1,-9.09
Suspicious Occ,2385,2130,-255,-10.69
Other,1020,898,-122,-11.96
Assault,8225,7199,-1026,-12.47
Traffic Violation Arrest,927,801,-126,-13.59
Case Closure,482,408,-74,-15.35
Other Miscellaneous,7789,6505,-1284,-16.48
Traffic Collision,396,328,-68,-17.17
Embezzlement,112,92,-20,-17.86
Weapons Offense,919,754,-165,-17.95
Stolen Property,550,451,-99,-18.0
Other Offenses,958,781,-177,-18.48
Malicious Mischief,7495,6059,-1436,-19.16
Larceny Theft,26318,20305,-6013,-22.85
Robbery,2408,1851,-557,-23.13
Burglary,6212,4546,-1666,-26.82
Recovered Vehicle,4924,2836,-2088,-42.4
Motor Vehicle Theft,7226,4114,-3112,-43.07
Rape,35,19,-16,-45.71
Vandalism,324,164,-160,-49.38
Sex Offense,162,56,-106,-65.43
Liquor Laws,30,9,-21,-70.0
